id	file_name_f	file_name_r	plate	well	sequencing_batch	label	environment	location	site	date
82	24025-0082_all_R1.fastq	24025-0082_all_R2.fastq	plate_1	B11	2	2_MS_MG_S_4	gills	mali_ston_bay	aquaculture	15.09.2020
83	24025-0083_all_R1.fastq	24025-0083_all_R2.fastq	plate_1	C11	2	2_MS_MG_S_5	gills	mali_ston_bay	aquaculture	15.09.2020
84	24025-0084_all_R1.fastq	24025-0084_all_R2.fastq	plate_1	D11	2	2_MS_MG_S_6	gills	mali_ston_bay	aquaculture	15.09.2020
85	24025-0085_all_R1.fastq	24025-0085_all_R2.fastq	plate_1	E11	2	2_MS_MG_S_7	gills	mali_ston_bay	aquaculture	15.09.2020
86	24025-0086_all_R1.fastq	24025-0086_all_R2.fastq	plate_1	F11	2	2_MS_MG_S_8	gills	mali_ston_bay	aquaculture	15.09.2020
87	24025-0087_all_R1.fastq	24025-0087_all_R2.fastq	plate_1	G11	2	2_MS_MG_S_9	gills	mali_ston_bay	aquaculture	15.09.2020
88	24025-0088_all_R1.fastq	24025-0088_all_R2.fastq	plate_1	H11	2	2_MS_MG_S_10	gills	mali_ston_bay	aquaculture	15.09.2020
89	24025-0089_all_R1.fastq	24025-0089_all_R2.fastq	plate_1	A12	2	3_LK_MG_S_1	gills	lim_bay	aquaculture	14.11.2020
90	24025-0090_all_R1.fastq	24025-0090_all_R2.fastq	plate_1	B12	2	3_LK_MG_S_2	gills	lim_bay	aquaculture	14.11.2020
91	24025-0091_all_R1.fastq	24025-0091_all_R2.fastq	plate_1	C12	2	3_LK_MG_S_3	gills	lim_bay	aquaculture	14.11.2020
92	24025-0092_all_R1.fastq	24025-0092_all_R2.fastq	plate_1	D12	2	3_LK_MG_S_4	gills	lim_bay	aquaculture	14.11.2020
93	24025-0095_all_R1.fastq	24025-0095_all_R2.fastq	plate_2	A1	3	3_LK_MG_S_5	gills	lim_bay	aquaculture	14.11.2020
95	24025-0097_all_R1.fastq	24025-0097_all_R2.fastq	plate_2	C1	3	3_LK_MG_S_7	gills	lim_bay	aquaculture	14.11.2020
96	24025-0098_all_R1.fastq	24025-0098_all_R2.fastq	plate_2	D1	3	3_LK_MG_S_8	gills	lim_bay	aquaculture	14.11.2020
97	24025-0099_all_R1.fastq	24025-0099_all_R2.fastq	plate_2	E1	3	3_LK_MG_S_9	gills	lim_bay	aquaculture	14.11.2020
98	24025-0100_all_R1.fastq	24025-0100_all_R2.fastq	plate_2	F1	3	3_LK_MG_S_10	gills	lim_bay	aquaculture	14.11.2020
99	24025-0101_all_R1.fastq	24025-0101_all_R2.fastq	plate_2	G1	3	3_MS_MG_S_1	gills	mali_ston_bay	aquaculture	10.11.2020
100	24025-0102_all_R1.fastq	24025-0102_all_R2.fastq	plate_2	H1	3	3_MS_MG_S_2	gills	mali_ston_bay	aquaculture	10.11.2020
101	24025-0103_all_R1.fastq	24025-0103_all_R2.fastq	plate_2	A2	3	3_MS_MG_S_3	gills	mali_ston_bay	aquaculture	10.11.2020
103	24025-0105_all_R1.fastq	24025-0105_all_R2.fastq	plate_2	C2	3	3_MS_MG_S_5	gills	mali_ston_bay	aquaculture	10.11.2020
104	24025-0106_all_R1.fastq	24025-0106_all_R2.fastq	plate_2	D2	3	3_MS_MG_S_11	gills	mali_ston_bay	aquaculture	10.11.2020
105	24025-0107_all_R1.fastq	24025-0107_all_R2.fastq	plate_2	E2	3	3_MS_MG_S_7	gills	mali_ston_bay	aquaculture	10.11.2020
106	24025-0108_all_R1.fastq	24025-0108_all_R2.fastq	plate_2	F2	3	3_MS_MG_S_8	gills	mali_ston_bay	aquaculture	10.11.2020
107	24025-0109_all_R1.fastq	24025-0109_all_R2.fastq	plate_2	G2	3	3_MS_MG_S_9	gills	mali_ston_bay	aquaculture	10.11.2020
108	24025-0110_all_R1.fastq	24025-0110_all_R2.fastq	plate_2	H2	3	3_MS_MG_S_10	gills	mali_ston_bay	aquaculture	10.11.2020
109	24025-0111_all_R1.fastq	24025-0111_all_R2.fastq	plate_2	A3	3	4_LK_MG_S_1	gills	lim_bay	aquaculture	15.01.2021
111	24025-0113_all_R1.fastq	24025-0113_all_R2.fastq	plate_2	C3	3	4_LK_MG_S_3	gills	lim_bay	aquaculture	15.01.2021
112	24025-0114_all_R1.fastq	24025-0114_all_R2.fastq	plate_2	D3	3	4_LK_MG_S_4	gills	lim_bay	aquaculture	15.01.2021
113	24025-0115_all_R1.fastq	24025-0115_all_R2.fastq	plate_2	E3	3	4_LK_MG_S_5	gills	lim_bay	aquaculture	15.01.2021
114	24025-0116_all_R1.fastq	24025-0116_all_R2.fastq	plate_2	F3	3	4_LK_MG_S_6	gills	lim_bay	aquaculture	15.01.2021
115	24025-0117_all_R1.fastq	24025-0117_all_R2.fastq	plate_2	G3	3	4_LK_MG_S_7	gills	lim_bay	aquaculture	15.01.2021
116	24025-0118_all_R1.fastq	24025-0118_all_R2.fastq	plate_2	H3	3	4_LK_MG_S_8	gills	lim_bay	aquaculture	15.01.2021
125	24025-0127_all_R1.fastq	24025-0127_all_R2.fastq	plate_2	A5	3	4_MS_MG_S_7	gills	mali_ston_bay	aquaculture	12.01.2021
127	24025-0129_all_R1.fastq	24025-0129_all_R2.fastq	plate_2	C5	3	4_MS_MG_S_9	gills	mali_ston_bay	aquaculture	12.01.2021
128	24025-0130_all_R1.fastq	24025-0130_all_R2.fastq	plate_2	D5	3	4_MS_MG_S_10	gills	mali_ston_bay	aquaculture	12.01.2021
129	24025-0131_all_R1.fastq	24025-0131_all_R2.fastq	plate_2	E5	3	5_LK_MG_S_11	gills	lim_bay	aquaculture	18.03.2021
130	24025-0132_all_R1.fastq	24025-0132_all_R2.fastq	plate_2	F5	3	5_LK_MG_S_12	gills	lim_bay	aquaculture	18.03.2021
131	24025-0133_all_R1.fastq	24025-0133_all_R2.fastq	plate_2	G5	3	5_LK_MG_S_3	gills	lim_bay	aquaculture	18.03.2021
132	24025-0134_all_R1.fastq	24025-0134_all_R2.fastq	plate_2	H5	3	5_LK_MG_S_4	gills	lim_bay	aquaculture	18.03.2021
133	24025-0135_all_R1.fastq	24025-0135_all_R2.fastq	plate_2	A6	3	5_LK_MG_S_5	gills	lim_bay	aquaculture	18.03.2021
